Split 1,Split 2,Cohort Date,First Deposit C,First Deposit S,Deposit APPC,First Deposit 2 Deposit Conversion,24h First Deposit 2 Deposit Conversion,7D First Deposit 2 Deposit Conversion,1D Deposit S,1D Deposit C,3D Deposit S,7D Deposit S,7D Deposit C,14D Deposit S,14D Deposit C,30D Deposit C,28D Deposit S,Marketing Spend,1D CNGR,3D CNGR,7D CNGR,14D CNGR,28D CNGR,Mono Instant Depositor Share,Registration C,Split 3
044agency,Canada,2025-12-24,1,31,2.0,100.0,0.0,100.0,31,1,43,43,2,43,2,2,43,180.0,22,34,34,34,34,0.0,4,shadowyn
044agency,Canada,2025-12-27,1,25,1.0,0.0,0.0,0.0,25,1,25,25,1,25,1,1,25,180.0,19,19,19,19,19,0.0,1,zerusice
044agency,Spain,2025-11-25,1,30,33.0,100.0,0.0,100.0,30,1,110,200,7,320,12,33,780,180.0,-109,85,165,-90,321,0.0,4,bnyz
044agency,Hungary,2025-10-31,1,26,1.0,0.0,0.0,0.0,26,1,26,26,1,26,1,1,26,120.0,19,15,17,17,17,0.0,16,bnyz
044agency,Hungary,2025-11-03,1,26,10.0,100.0,0.0,100.0,77,3,77,77,3,233,9,10,259,120.0,61,59,55,196,217,0.0,5,bnyz
044agency,Hungary,2025-11-12,1,21,3.0,100.0,100.0,100.0,62,3,62,62,3,62,3,3,62,120.0,-69,50,50,50,50,0.0,1,bnyz
044agency,Hungary,2025-11-17,1,26,3.0,100.0,0.0,100.0,26,1,52,52,2,52,2,3,78,120.0,-8,38,42,44,31,0.0,6,bnyz
ASO_MM,Hungary,2025-12-17,2,46,1.0,0.0,0.0,0.0,46,2,46,46,2,46,2,2,46,190.0,38,38,38,38,38,100.0,17,Default
ASO_MM,Hungary,2025-12-18,6,131,1.33,33.33,33.33,33.33,173,8,173,173,8,173,8,8,173,570.0,35,35,132,134,134,50.0,84,Default
ASO_MM,Hungary,2025-12-19,2,36,1.0,0.0,0.0,0.0,36,2,36,36,2,36,2,2,36,190.0,17,17,17,17,17,0.0,11,Default
ASO_MM,Hungary,2025-12-22,1,77,2.0,100.0,0.0,100.0,77,1,154,154,2,154,2,2,154,95.0,70,141,141,141,141,100.0,14,Default
ASO_MM,Norway,2025-12-14,1,20,3.0,100.0,100.0,100.0,60,3,60,60,3,60,3,3,60,180.0,52,52,52,52,52,0.0,3,Default
ASO_MM,Norway,2025-12-22,1,24,1.0,0.0,0.0,0.0,24,1,24,24,1,24,1,1,24,180.0,19,19,19,19,19,0.0,1,Default
AcePartners,Belgium,2025-07-30,1,30,1.0,0.0,0.0,0.0,30,1,30,30,1,30,1,1,30,0.0,25,25,20,25,25,0.0,1,
AcePartners,Belgium,2025-08-09,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,0.0,53,53,53,53,53,0.0,1,
AcePartners,Belgium,2025-09-08,1,100,315.0,100.0,100.0,100.0,905,17,1850,2895,63,4780,98,237,15740,0.0,473,350,2123,2177,11324,0.0,1,
AcePartners,Belgium,2025-10-04,1,100,5.0,100.0,100.0,100.0,350,4,450,450,5,450,5,5,450,0.0,151,234,334,372,372,0.0,1,
AcePartners,Greece,2025-09-21,1,100,4.0,100.0,0.0,100.0,100,1,700,1000,4,1000,4,4,1000,0.0,76,557,705,705,705,0.0,1,
AcePartners,Norway,2025-10-13,1,21,4.0,100.0,0.0,100.0,21,1,21,41,2,62,3,3,62,0.0,17,17,33,51,51,0.0,1,
AcePartners,Poland,2025-11-27,1,35,1.0,0.0,0.0,0.0,35,1,35,35,1,35,1,1,35,150.0,28,28,28,28,28,0.0,4,92792
AcePartners,Poland,2025-11-30,1,47,1.0,0.0,0.0,0.0,47,1,47,47,1,47,1,1,47,150.0,42,42,42,42,42,0.0,11,92792
AcePartners,Poland,2025-12-04,1,35,1.0,0.0,0.0,0.0,35,1,35,35,1,35,1,1,35,150.0,29,29,30,30,30,0.0,6,92792
AcePartners,Poland,2025-12-08,2,59,2.5,50.0,50.0,50.0,113,4,113,132,5,132,5,5,132,150.0,-127,71,120,120,120,0.0,6,92792
AcePartners,Poland,2025-12-12,1,24,1.0,0.0,0.0,0.0,24,1,24,24,1,24,1,1,24,150.0,21,21,21,21,21,0.0,1,92792
AcePartners,Poland,2025-12-13,2,59,3.0,50.0,50.0,50.0,78,3,111,111,4,182,6,6,182,300.0,66,95,95,157,157,50.0,6,92792
AcePartners,Poland,2025-12-14,1,24,1.0,0.0,0.0,0.0,24,1,24,24,1,24,1,1,24,150.0,11,11,11,11,11,0.0,4,92792
AcePartners,Portugal,2025-12-13,1,20,2.0,100.0,0.0,100.0,20,1,20,40,2,40,2,2,40,0.0,-196,-199,-183,-183,-183,0.0,1,Default
Ads2Bets,Italy,2025-11-05,9,190,2.56,88.89,66.67,77.78,492,22,492,492,22,492,22,23,513,1620.0,139,303,302,302,319,0.0,39,567
AdvertiseCrash,Portugal,2025-08-28,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,75.0,-53,-53,-3,-3,-3,0.0,11,270037
AdvertiseSlots,Poland,2025-08-21,1,19,1.0,0.0,0.0,0.0,19,1,19,19,1,19,1,1,19,150.0,15,15,15,15,15,0.0,1,198677
AdvertiseSlots,Poland,2025-10-11,1,47,3.0,100.0,100.0,100.0,164,2,164,164,2,164,2,3,188,150.0,136,136,136,136,154,0.0,1,198677
AdvertiseSlots,Poland,2025-12-03,1,57,1.0,0.0,0.0,0.0,57,1,57,57,1,57,1,1,57,150.0,47,48,48,48,48,0.0,1,198677
AffNet,France,2025-09-25,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,160.0,3,3,3,3,3,0.0,5,138
Art_PC,Spain,2025-09-07,3,60,1.0,0.0,0.0,0.0,60,3,60,60,3,60,3,3,60,390.0,8,8,30,30,30,33.33,14,3389
Art_PC,Spain,2025-09-08,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,16,16,16,16,16,100.0,14,3389
Art_PC,Spain,2025-09-15,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,14,14,14,14,14,100.0,1,3389
Art_PC,Spain,2025-09-16,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,-2,-2,-2,-2,-2,100.0,6,3389
Art_PC,Spain,2025-09-17,1,20,3.0,100.0,100.0,100.0,60,3,60,60,3,60,3,3,60,130.0,54,54,54,54,54,100.0,8,3389
Art_PC,Spain,2025-09-30,2,70,1.0,0.0,0.0,0.0,70,2,70,70,2,70,2,2,70,260.0,50,47,50,50,50,0.0,7,3389
Art_PC,Spain,2025-10-01,2,40,2.5,50.0,0.0,0.0,40,2,40,40,2,40,2,4,80,260.0,26,25,25,25,58,50.0,6,3389
Art_PC,Spain,2025-10-03,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,130.0,10,10,10,10,10,100.0,7,3389
Bulls2,France,2025-09-18,1,20,6.0,100.0,100.0,100.0,40,2,60,100,5,100,5,6,120,160.0,24,48,-11,-11,5,0.0,12,FR_INAPP_S
Bulls2,France,2025-09-19,2,40,6.5,50.0,0.0,0.0,40,2,40,40,2,40,2,2,40,320.0,-16,-20,31,31,32,50.0,7,FR_INAPP_S
Bulls2,Germany,2025-09-17,1,20,2.0,100.0,100.0,100.0,40,2,40,40,2,40,2,2,40,200.0,32,31,31,31,31,0.0,6,DE_INAPP_S
Bulls2,Germany,2025-09-18,2,40,1.0,0.0,0.0,0.0,40,2,40,40,2,40,2,2,40,400.0,29,28,29,29,29,0.0,33,DE_INAPP_S
Bulls2,Germany,2025-09-19,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,200.0,-30,-4,13,44,44,0.0,15,DE_INAPP_S
Bulls2,Poland,2025-09-26,1,23,10.0,100.0,100.0,100.0,70,3,94,155,7,209,9,10,232,150.0,58,76,127,173,194,0.0,1,PL_INAPP_S
Bulls4,Hungary,2025-11-20,1,26,1.0,0.0,0.0,0.0,26,1,26,26,1,26,1,1,26,80.0,21,21,21,21,21,0.0,4,Default
Bulls4,Poland,2025-11-19,3,57,1.33,33.33,0.0,33.33,76,4,76,76,4,76,4,4,76,300.0,54,54,54,54,54,33.33,9,Default
Casinozentrum,Italy,2025-07-09,1,20,17.0,100.0,100.0,100.0,160,8,160,220,11,300,15,15,300,21.0,130,130,178,245,245,0.0,1,
Clicklead,Poland,2025-09-23,2,49,1.5,50.0,0.0,0.0,49,2,49,49,2,49,2,2,49,300.0,40,40,40,41,41,0.0,2,87003
Clicklead,Poland,2025-10-27,2,60,1.5,50.0,0.0,50.0,60,2,84,84,3,84,3,3,84,300.0,49,54,68,68,68,0.0,10,87003
Clicklead,Poland,2025-10-28,4,111,1.25,25.0,0.0,0.0,111,4,111,111,4,144,5,5,144,600.0,-9,-7,-7,-72,-72,0.0,10,87003
Clicklead,Poland,2025-10-29,1,31,1.0,0.0,0.0,0.0,31,1,31,31,1,31,1,1,31,150.0,26,25,25,25,25,0.0,5,87003
Clicklead,Poland,2025-10-30,1,26,1.0,0.0,0.0,0.0,26,1,26,26,1,26,1,1,26,150.0,21,20,20,20,20,0.0,3,87003
DSRCM01,Poland,2025-10-18,4,97,1.25,25.0,0.0,25.0,97,4,120,120,5,120,5,5,120,280.0,85,-30,-30,-30,-30,0.0,17,LNK
DSRCM01,Poland,2025-10-19,5,99,2.0,0.0,0.0,0.0,99,5,99,99,5,99,5,5,99,350.0,67,67,67,67,67,25.0,7,IV
DSRCM01,Poland,2025-10-20,5,160,1.4,20.0,0.0,20.0,160,5,184,208,7,208,7,7,208,351.0,123,140,173,173,173,20.0,42,LNK
DSRCM01,Poland,2025-10-21,1,24,1.0,0.0,0.0,0.0,24,1,24,24,1,24,1,1,24,70.0,21,19,19,21,21,0.0,18,LNK
